제품명,가격,칩셋 종류,메모리규격,쿨러
AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),433160,AM5,DDR5,포함
AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),638680,AM5,DDR5,포함
인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340720,1851,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),479000,1851,DDR5,포함
AMD 라이젠7-6세대 9800X3D (그래니트 릿지),638680,AM5,DDR5,포함
AMD 라이젠7-5세대 7800X3D (라파엘),433160,AM5,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크),479000,1851,DDR5,포함
인텔 코어 울트라5 시리즈2 245K (애로우레이크),340720,1851,DDR5,포함
AMD 라이젠5-5세대 7500F (라파엘),209000,AM5,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),479000,1851,DDR5,포함
AMD 라이젠5-4세대 5600 (버미어),173650,AM4,DDR4,포함
AMD 라이젠5-4세대 5500GT (세잔),194930,AM4,DDR4,포함
인텔 코어i5-14세대 14400F (랩터레이크 리프레시),243930,1700,DDR5,포함
AMD 라이젠7-6세대 9700X (그래니트 릿지),396850,AM5,DDR5,포함
AMD 라이젠5-4세대 5600G (세잔),208600,AM4,DDR4,포함
인텔 코어i5-14세대 14600K (랩터레이크 리프레시),381430,1700,DDR5,포함
AMD 라이젠9-6세대 9950X3D (그래니트 릿지),972270,AM5,DDR5,포함
AMD 라이젠5-5세대 7500X3D (라파엘),300000,AM5,DDR5,포함
AMD 라이젠7-6세대 9850X3D (그래니트 릿지),772620,AM5,DDR5,포함
인텔 코어 울트라9 시리즈2 285K (애로우레이크),907690,1851,DDR5,포함
AMD 라이젠5-6세대 9600X (그래니트 릿지),300980,AM5,DDR5,포함
인텔 코어 울트라5 시리즈2 225 (애로우레이크),264900,1851,DDR5,포함
인텔 코어i5-13세대 13600K (랩터레이크),339040,1700,DDR5,포함
인텔 코어i5-12세대 12400F (엘더레이크),217760,1700,DDR5,포함
AMD 라이젠7-4세대 5700X (버미어),3920000,AM4,DDR4,포함
인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시),509950,1851,DDR5,포함
인텔 코어i7-14세대 14700KF (랩터레이크 리프레시),495230,1700,DDR5,포함
AMD 라이젠5-6세대 9500F (그래니트 릿지),278990,AM5,DDR5,포함
AMD 라이젠7-4세대 5700X3D (버미어),438890,AM4,DDR4,포함
인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시),359990,1851,DDR5,포함
인텔 코어 울트라5 시리즈2 250KF Plus (애로우레이크 리프레시),325990,1851,DDR5,포함
AMD 라이젠5-5세대 8600G (피닉스),277940,AM5,DDR5,포함
인텔 코어i3-14세대 14100F (랩터레이크 리프레시),148520,1700,DDR5,포함
인텔 코어i5-14세대 14600KF (랩터레이크 리프레시),384700,1700,DDR5,포함
AMD 라이젠5-4세대 5600X (버미어),950000,AM4,DDR4,포함
AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),433160,AM5,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),479000,1851,DDR5,포함
인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340720,1851,DDR5,포함
AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),638680,AM5,DDR5,포함
AMD 라이젠7-6세대 9800X3D (그래니트 릿지),638680,AM5,DDR5,포함
AMD 라이젠7-5세대 7800X3D (라파엘),433160,AM5,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크),479000,1851,DDR5,포함
인텔 코어 울트라5 시리즈2 245K (애로우레이크),340720,1851,DDR5,포함
AMD 라이젠5-5세대 7500F (라파엘),209000,AM5,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),479000,1851,DDR5,포함
AMD 라이젠5-4세대 5600 (버미어),173650,AM4,DDR4,포함
AMD 라이젠5-4세대 5500GT (세잔),194930,AM4,DDR4,포함
인텔 코어i5-14세대 14400F (랩터레이크 리프레시),243930,1700,DDR5,포함
AMD 라이젠7-6세대 9700X (그래니트 릿지),396850,AM5,DDR5,포함
AMD 라이젠5-4세대 5600G (세잔),208600,AM4,DDR4,포함
인텔 코어i5-14세대 14600K (랩터레이크 리프레시),381430,1700,DDR5,포함
AMD 라이젠9-6세대 9950X3D (그래니트 릿지),972270,AM5,DDR5,포함
AMD 라이젠5-5세대 7500X3D (라파엘),300000,AM5,DDR5,포함
AMD 라이젠7-6세대 9850X3D (그래니트 릿지),772620,AM5,DDR5,포함
인텔 코어 울트라9 시리즈2 285K (애로우레이크),907690,1851,DDR5,포함
AMD 라이젠5-6세대 9600X (그래니트 릿지),300980,AM5,DDR5,포함
인텔 코어 울트라5 시리즈2 225 (애로우레이크),264900,1851,DDR5,포함
인텔 코어i5-13세대 13600K (랩터레이크),339040,1700,DDR5,포함
인텔 코어i5-12세대 12400F (엘더레이크),217760,1700,DDR5,포함
AMD 라이젠7-4세대 5700X (버미어),3920000,AM4,DDR4,포함
인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시),509950,1851,DDR5,포함
인텔 코어i7-14세대 14700KF (랩터레이크 리프레시),495230,1700,DDR5,포함
AMD 라이젠5-6세대 9500F (그래니트 릿지),278990,AM5,DDR5,포함
AMD 라이젠7-4세대 5700X3D (버미어),438890,AM4,DDR4,포함
인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시),359990,1851,DDR5,포함
인텔 코어 울트라5 시리즈2 250KF Plus (애로우레이크 리프레시),325990,1851,DDR5,포함
AMD 라이젠5-5세대 8600G (피닉스),277940,AM5,DDR5,포함
인텔 코어i3-14세대 14100F (랩터레이크 리프레시),148520,1700,DDR5,포함
인텔 코어i5-14세대 14600KF (랩터레이크 리프레시),384700,1700,DDR5,포함
AMD 라이젠5-4세대 5600X (버미어),950000,AM4,DDR4,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),479000,1851,DDR5,포함
AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),433160,AM5,DDR5,포함
인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340720,1851,DDR5,포함
AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),638680,AM5,DDR5,포함
AMD 라이젠7-6세대 9800X3D (그래니트 릿지),638680,AM5,DDR5,포함
AMD 라이젠7-5세대 7800X3D (라파엘),433160,AM5,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크),479000,1851,DDR5,포함
인텔 코어 울트라5 시리즈2 245K (애로우레이크),340720,1851,DDR5,포함
AMD 라이젠5-5세대 7500F (라파엘),209000,AM5,DDR5,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),479000,1851,DDR5,포함
AMD 라이젠5-4세대 5600 (버미어),173650,AM4,DDR4,포함
AMD 라이젠5-4세대 5500GT (세잔),194930,AM4,DDR4,포함
인텔 코어i5-14세대 14400F (랩터레이크 리프레시),243930,1700,DDR5,포함
AMD 라이젠7-6세대 9700X (그래니트 릿지),396850,AM5,DDR5,포함
AMD 라이젠5-4세대 5600G (세잔),208600,AM4,DDR4,포함
인텔 코어i5-14세대 14600K (랩터레이크 리프레시),381430,1700,DDR5,포함
AMD 라이젠9-6세대 9950X3D (그래니트 릿지),972270,AM5,DDR5,포함
AMD 라이젠5-5세대 7500X3D (라파엘),300000,AM5,DDR5,포함
AMD 라이젠7-6세대 9850X3D (그래니트 릿지),772620,AM5,DDR5,포함
인텔 코어 울트라9 시리즈2 285K (애로우레이크),907690,1851,DDR5,포함
AMD 라이젠5-6세대 9600X (그래니트 릿지),300980,AM5,DDR5,포함
인텔 코어 울트라5 시리즈2 225 (애로우레이크),264900,1851,DDR5,포함
인텔 코어i5-13세대 13600K (랩터레이크),339040,1700,DDR5,포함
인텔 코어i5-12세대 12400F (엘더레이크),217760,1700,DDR5,포함
AMD 라이젠7-4세대 5700X (버미어),3920000,AM4,DDR4,포함
인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시),509950,1851,DDR5,포함
인텔 코어i7-14세대 14700KF (랩터레이크 리프레시),495230,1700,DDR5,포함
AMD 라이젠5-6세대 9500F (그래니트 릿지),278990,AM5,DDR5,포함
AMD 라이젠7-4세대 5700X3D (버미어),438890,AM4,DDR4,포함
인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시),359990,1851,DDR5,포함
인텔 코어 울트라5 시리즈2 250KF Plus (애로우레이크 리프레시),325990,1851,DDR5,포함
AMD 라이젠5-5세대 8600G (피닉스),277940,AM5,DDR5,포함
인텔 코어i3-14세대 14100F (랩터레이크 리프레시),148520,1700,DDR5,포함
인텔 코어i5-14세대 14600KF (랩터레이크 리프레시),384700,1700,DDR5,포함
AMD 라이젠5-4세대 5600X (버미어),950000,AM4,DDR4,포함
인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),479000,1851,DDR5,포함
AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),433160,AM5,DDR5,포함
