제품명,가격,칩셋 종류,램슬롯,그래픽카드 연결,보드 사이즈,램클럭
ASRock B850M Pro-A 에즈윈,165600,AM5,DDR5,PCIe5.0 x16,M-ATX,8000MHz
ASUS TUF Gaming B850M-PLUS WIFI7 STCOM,266400,AM5,DDR5,PCIe5.0 x16,M-ATX,8000MHz
MSI MAG X870E 토마호크 WIFI,472680,AM5,DDR5,PCIe5.0 x16,ATX,8400MHz
ASRock B850 Challenger WiFi 7 White 대원씨티에스,255280,AM5,DDR5,PCIe5.0 x16,ATX,8000MHz
GIGABYTE B650M K 제이씨현,117000,AM5,DDR5,PCIe4.0 x16,M-ATX,8000MHz
MSI MAG B850M 박격포 WIFI,260240,AM5,DDR5,PCIe5.0 x16,M-ATX,8200MHz
GIGABYTE B650M K 피씨디렉트,117550,AM5,DDR5,PCIe4.0 x16,M-ATX,8000MHz
ASUS TUF Gaming B850M-PLUS WIFI7 STCOM,266400,AM5,DDR5,PCIe5.0 x16,M-ATX,8000MHz
ASUS ROG STRIX B860-G GAMING WIFI 코잇,281780,1851,DDR5,PCIe5.0 x16,M-ATX,9066MHz
MSI MAG B860M 박격포 WIFI,274420,1851,DDR5,PCIe5.0 x16,M-ATX,9200MHz
ASUS TUF Gaming B550M-PLUS STCOM,151850,AM4,DDR4,PCIe4.0 x16,M-ATX,4800MHz
GIGABYTE B850M AORUS ELITE WIFI6E ICE 제이씨현,231560,AM5,DDR5,PCIe5.0 x16,M-ATX,8200MHz
GIGABYTE B550M AORUS ELITE 제이씨현,121900,AM4,DDR4,PCIe4.0 x16,M-ATX,4733MHz
MSI MAG X870E 토마호크 WIFI,472680,AM5,DDR5,PCIe5.0 x16,ATX,8400MHz
ASRock B650M Pro X3D 에즈윈,145200,AM5,DDR5,PCIe5.0 x16,M-ATX,8000MHz
MSI MAG B850 토마호크 맥스 WIFI,320880,AM5,DDR5,PCIe5.0 x16,ATX,8400MHz
ASUS PRIME A520M-K 대원씨티에스,64940,AM4,DDR4,PCIe3.0 x16,M-ATX,4600MHz
