name,price,socket_type,memory_type,created_at
인텔 펜티엄 G2020 (아이비브릿지),1000,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어2듀오 E7500 (울프데일),1330,775,,2026-05-22 11:46:43.170828
인텔 셀러론 G1830 (하스웰),1400,1150,DDR3,2026-05-22 11:46:43.170828
인텔 셀러론 G1820 (하스웰),1500,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G640 (샌디브릿지),1800,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G860 (샌디브릿지),1800,1155,DDR3,2026-05-22 11:46:43.170828
인텔 셀러론 G550 (샌디브릿지),1800,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G620 (샌디브릿지),1800,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 E6300 (울프데일),1860,775,,2026-05-22 11:46:43.170828
인텔 펜티엄 G3250 (하스웰 리프레시),1890,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3220 (하스웰),1890,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 E6500 (울프데일),1900,775,,2026-05-22 11:46:43.170828
인텔 펜티엄 E5300 (울프데일),1900,775,,2026-05-22 11:46:43.170828
인텔 셀러론 G1840 (하스웰 리프레시),1950,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3240 (하스웰 리프레시),2000,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G850 (샌디브릿지),2090,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G840 (샌디브릿지),2100,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 E2180 (콘로),2110,775,,2026-05-22 11:46:43.170828
인텔 코어i3-2세대 2120 (샌디브릿지),2290,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3440 (하스웰 리프레시),2790,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G4500 (스카이레이크),2990,1151,,2026-05-22 11:46:43.170828
인텔 코어2듀오 E8400 (울프데일),2990,775,,2026-05-22 11:46:43.170828
인텔 펜티엄 G3420 (하스웰),3000,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-1세대 530 (클락데일),3200,1156,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-1세대 760 (린필드),3270,1156,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-1세대 540 (클락데일),3270,1156,DDR3,2026-05-22 11:46:43.170828
인텔 셀러론 G1850 (하스웰 리프레시),3270,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-1세대 550 (클락데일),3280,1156,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-1세대 750 (린필드),3330,1156,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-3세대 3240 (아이비브릿지),3490,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-2세대 2100 (샌디브릿지),3600,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3450 (하스웰 리프레시),3720,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-4세대 4150 (하스웰 리프레시),3740,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G2030 (아이비브릿지),3750,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-1세대 650 (클락데일),3920,1156,DDR3,2026-05-22 11:46:43.170828
인텔 코어2쿼드 Q8300 (요크필드),4000,775,,2026-05-22 11:46:43.170828
인텔 펜티엄 G3460 (하스웰 리프레시),4430,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-3세대 3220 (아이비브릿지),4590,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3260 (하스웰 리프레시),4600,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G2130 (아이비브릿지),4770,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G2120 (아이비브릿지),4900,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i7-1세대 950 (블룸필드),5000,1366,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 E2160 (콘로),5310,775,,2026-05-22 11:46:43.170828
인텔 펜티엄 E6600 (울프데일),6190,775,,2026-05-22 11:46:43.170828
인텔 셀러론 G1630 (아이비브릿지),6200,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어2쿼드 Q6600 (켄츠필드),7000,775,,2026-05-22 11:46:43.170828
인텔 코어i3-6세대 6300 (스카이레이크),7000,1151,,2026-05-22 11:46:43.170828
인텔 펜티엄 G4600 (카비레이크),7290,1151,,2026-05-22 11:46:43.170828
인텔 코어2쿼드 Q8400 (요크필드),7780,775,,2026-05-22 11:46:43.170828
인텔 펜티엄 G4560 (카비레이크),8000,1151,,2026-05-22 11:46:43.170828
AMD FX 4100 (잠베지),8370,AM3,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-4세대 4130 (하스웰),8390,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 E6700 (울프데일),8590,775,,2026-05-22 11:46:43.170828
인텔 코어i3-4세대 4170 (하스웰 리프레시),8780,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어2쿼드 Q9300 (요크필드),9070,775,,2026-05-22 11:46:43.170828
인텔 코어i7-1세대 860 (린필드),9970,1156,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3430 (하스웰),10000,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G4400 (스카이레이크),10330,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-2세대 2400 (샌디브릿지),10550,1155,DDR3,2026-05-22 11:46:43.170828
인텔 셀러론 G3930 (카비레이크),10550,1151,,2026-05-22 11:46:43.170828
인텔 코어2쿼드 Q9500 (요크필드),10820,775,,2026-05-22 11:46:43.170828
인텔 코어i5-2세대 2300 (샌디브릿지),11500,1155,DDR3,2026-05-22 11:46:43.170828
인텔 제온 E3-1220 (샌디브릿지),12000,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3258 (하스웰),12250,1150,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 골드 G5420 (커피레이크-R),12280,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-4세대 4370 (하스웰 리프레시),12390,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-4세대 4360 (하스웰 리프레시),12490,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-3세대 3330 (아이비브릿지),12600,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-2세대 2500 (샌디브릿지),13790,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i7-1세대 870 (린필드),13890,1156,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-2세대 2500K (샌디브릿지),13900,1155,DDR3,2026-05-22 11:46:43.170828
AMD A4 7300 (리치랜드),13950,FM2,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-3세대 3470 (아이비브릿지),13990,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-4세대 4330 (하스웰),14100,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-3세대 3450 (아이비브릿지),14200,1155,DDR3,2026-05-22 11:46:43.170828
AMD 페넘II-X4 955 (데네브),15680,AM3,,2026-05-22 11:46:43.170828
인텔 코어i3-7세대 7100 (카비레이크),15920,1151,,2026-05-22 11:46:43.170828
AMD 페넘II-X4 945 (데네브),15990,AM3,,2026-05-22 11:46:43.170828
인텔 셀러론 G530 (샌디브릿지),16310,1155,DDR3,2026-05-22 11:46:43.170828
인텔 셀러론 G540 (샌디브릿지),16410,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-3세대 3550 (아이비브릿지),16500,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G645 (샌디브릿지),16540,1155,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 G3470 (하스웰 리프레시),17000,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-3세대 3570K (아이비브릿지),17000,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어2쿼드 Q9550 (요크필드),17000,775,,2026-05-22 11:46:43.170828
인텔 펜티엄 골드 G5400 (커피레이크),17680,1151V2,DDR4,2026-05-22 11:46:43.170828
AMD FX 8300 (비쉐라),18820,AM3,DDR3,2026-05-22 11:46:43.170828
인텔 제온 X5680 (웨스터미어),19000,1366,DDR3,2026-05-22 11:46:43.170828
인텔 펜티엄 E5700 (울프데일),19000,775,,2026-05-22 11:46:43.170828
AMD 페넘II-X6 1055T (투반),20000,AM3,,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4430 (하스웰),20000,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-3세대 3570 (아이비브릿지),20340,1155,DDR3,2026-05-22 11:46:43.170828
인텔 셀러론 G4900 (커피레이크),20660,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-6세대 6320 (스카이레이크),20900,1151,,2026-05-22 11:46:43.170828
인텔 셀러론 G3900 (스카이레이크),21630,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4440 (하스웰),21990,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4460 (하스웰 리프레시),22410,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4670K (하스웰),23450,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-6세대 6100 (스카이레이크),24390,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4570 (하스웰),26320,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4670 (하스웰),26800,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4590 (하스웰 리프레시),28000,1150,DDR3,2026-05-22 11:46:43.170828
인텔 제온 E3-1220V5 (스카이레이크),28160,1151,,2026-05-22 11:46:43.170828
인텔 셀러론 G4930 (커피레이크-R),28890,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4690K (데빌스캐년),29110,1150,DDR3,2026-05-22 11:46:43.170828
AMD 라이젠5-1세대 1400 (서밋 릿지),30790,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 제온 E5-2680 v4 (브로드웰-EP),31400,2011,DDR4,2026-05-22 11:46:43.170828
인텔 셀러론 G5900 (코멧레이크S),31990,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-7세대 7320 (카비레이크),32850,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-6세대 6500 (스카이레이크),32920,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4690 (하스웰 리프레시),33160,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i3-8세대 8100 (커피레이크),34810,1151V2,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-1세대 1600 (서밋 릿지),34880,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-6세대 6400 (스카이레이크),35050,1151,,2026-05-22 11:46:43.170828
인텔 코어i7-2세대 2600 (샌디브릿지),35280,1155,DDR3,2026-05-22 11:46:43.170828
AMD 애슬론 200GE (레이븐 릿지),36200,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-6세대 6600 (스카이레이크),36440,1151,,2026-05-22 11:46:43.170828
인텔 코어i3-7세대 7300 (카비레이크),36590,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-6세대 6600K (스카이레이크),37600,1151,,2026-05-22 11:46:43.170828
인텔 제온 E3-1270V5 (스카이레이크),38430,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4670 + H81 패키지,45130,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-7세대 7400 (카비레이크),45580,1151,,2026-05-22 11:46:43.170828
인텔 코어i5-4세대 4690 + H81 패키지,46500,1150,DDR3,2026-05-22 11:46:43.170828
인텔 코어i7-2세대 2600K (샌디브릿지),47420,1155,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-7세대 7600 (카비레이크),48730,1151,,2026-05-22 11:46:43.170828
인텔 제온 스케일러블 브론즈 3206R (캐스케이드레이크),50000,3647,DDR4,2026-05-22 11:46:43.170828
인텔 제온 E3-1230V2 (아이비브릿지),51110,1155,DDR3,2026-05-22 11:46:43.170828
AMD 라이젠7-1세대 1700X (서밋 릿지),52360,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-2세대 2600 (피나클 릿지),56790,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-9세대 9100 (커피레이크-R),60080,1151V2,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-3세대 3500 (마티스),60220,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-1세대 1500X (서밋 릿지),61400,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-7세대 7300T (카비레이크),62080,1151,,2026-05-22 11:46:43.170828
