name,price,size,gpu_length,cooler_length
마이크로닉스 WIZMAX 우드리안 MAX,84260,ATX,410,160
DAVEN D7 Mesh 세븐팬,47020,ATX,400,170
DAVEN 벤투스 420 MESH ARGB,94720,ATX,395,175
앱코 UD51 엑시드 ARGB BTF,89000,EATX,400,160
darkFlash DS500 RGB,39500,ATX,405,165
앱코 G50 빅플로우 MESH ARGB BTF,89000,EATX,408,180
잘만 N30 백사십,37130,ATX,430,180
1stPlayer RT7 라운드 ARGB,98890,ATX,410,157
3RSYS L600 Quiet,86540,EATX,400,180
darkFlash DPF70 ARGB,57690,ATX,410,160
마이크로닉스 WIZMAX 스텔라,92360,ATX,425,175
darkFlash DS900 ARGB 강화유리,58000,ATX,425,170
DAVEN AQUA 다이버,37680,EATX,400,165
Antec FLUX PRO MESH,247920,EATX,455,190
Antec C8 MESH,132880,EATX,440,175
darkFlash DMO11,19800,ATX,270,165
Antec FLUX M MESH,77120,MATX,405,175
DAVEN D9 Mesh 나인팬,56930,EATX,430,170
3RSYS T2000 Quiet,119740,EATX,420,180
DAVEN AQUA Lite,18420,ATX,280,165
darkFlash DLX21 RGB MESH 강화유리,97990,EATX,400,180
Antec FLUX REAR MESH BTF,115960,ATX,400,180
Fractal Design North XL Momentum Edition,353710,EATX,413,176
마이크로닉스 WIZMAX CHILL 세븐팬,46980,EATX,400,165
컴이지 킹덤 비바리움 미니,29900,ATX,350,165
DAVEN U300,36020,ATX,310,135
darkFlash DS950V ARGB 디스플레이,92670,ATX,400,180
DAVEN AQUARIUM 미니,35570,ATX,430,160
마이크로닉스 WIZMAX 슬로프,92380,ATX,430,175
3RSYS S480 WOOD BTF,61990,ATX,400,162
DEEPCOOL CH170 PLUS,81540,MATX,342,164
MONTECH HS02 PRO BTF,144410,ATX,420,175
Antec P30 MESH ARGB,96830,ATX,405,175
