name,price,recommended_power,pcie_type,gpu_length,created_at
지포스 GT630 (중고),14000,,,,2026-04-20 15:27:56.166823
액슬 지포스 G210 D3 512MB 에즈윈,25190,300.0,PCIE2.0X16,150.0,2026-04-20 15:27:56.166823
AFOX 지포스 G210 D3 512MB LP 디앤디컴,25990,300.0,PCIE2.0X16,150.0,2026-04-20 15:27:56.166823
액슬 지포스 G210 D3 1GB 에즈윈,26640,,PCIE2.0X16,150.0,2026-04-20 15:27:56.166823
GIGABYTE AORUS SLI HB 브릿지 L,38000,,,,2026-04-20 15:27:56.166823
XFX Magnetic Air 시리즈 커스텀 팬 오렌지,38990,,,,2026-04-20 15:27:56.166823
XFX Magnetic Air 시리즈 커스텀 팬 그린,38990,,,,2026-04-20 15:27:56.166823
XFX Magnetic Air 시리즈 커스텀 팬 블루,38990,,,,2026-04-20 15:27:56.166823
AFOX 지포스 GT710 L5 D3 1GB LP 디앤디컴,58160,300.0,PCIE2.0X16,145.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음,59170,300.0,PCIE2.0X8,148.0,2026-04-20 15:27:56.166823
갤럭시 GALAZ 지포스 GT710 D3 1GB LP 무소음,59210,300.0,PCIE2.0X16,165.0,2026-04-20 15:27:56.166823
액슬 지포스 GT730 클래식 D3 1GB 에즈윈,59350,300.0,PCIE2.0X16,145.0,2026-04-20 15:27:56.166823
AFOX 지포스 GT730 D3 2GB LP 무소음 디앤디컴,63090,,PCIE2.0X16,145.0,2026-04-20 15:27:56.166823
액슬 지포스 GT730 클래식 D3 2GB 에즈윈,63340,300.0,PCIE2.0X16,156.0,2026-04-20 15:27:56.166823
갤럭시 갤라즈 GALAX 지포스 GT710 D3 2GB LP 무소음,63360,300.0,PCIE2.0X8,148.0,2026-04-20 15:27:56.166823
MSI 지포스 GT710 D3 2GB LP 무소음,64050,300.0,PCIE2.0X8,146.0,2026-04-20 15:27:56.166823
갤럭시 GALAZ 지포스 GT710 D3 2GB LP 무소음,64350,300.0,PCIE2.0X8,148.0,2026-04-20 15:27:56.166823
TUL 라데온 RX 550 D5 2GB LP (벌크),64900,400.0,,176.0,2026-04-20 15:27:56.166823
MSI 지포스 GT710 D3 1GB LP 무소음 V2,65500,300.0,PCIE2.0X8,146.0,2026-04-20 15:27:56.166823
액슬 지포스 GT730 클래식 D3 4GB R2 에즈윈,69360,300.0,PCIE2.0X16,146.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 GT730 D3 4GB LP,73600,300.0,PCIE2.0X8,148.0,2026-04-20 15:27:56.166823
STCOM 지포스 GT730 D5 2GB LP,76840,300.0,PCIE2.0X16,145.0,2026-04-20 15:27:56.166823
갤럭시 GALAZ 지포스 GT730 D3 4GB LP,80900,300.0,PCIE2.0X8,148.0,2026-04-20 15:27:56.166823
