name,price,socket_type,memory_type,pcie_type,size,memory_clock
MSI MAG B850M 박격포 WIFI,262150,AM5,DDR5,PCIE5.0X16,MATX,8200
GIGABYTE B650M K 피씨디렉트,117250,AM5,DDR5,PCIE4.0X16,MATX,8000
ASRock B850 Challenger WiFi 7 White 대원씨티에스,255290,AM5,DDR5,PCIE5.0X16,ATX,8000
ASUS PRIME B860M-A-CSM 코잇,184000,1851,DDR5,PCIE5.0X16,MATX,8400
GIGABYTE B650M K 제이씨현,117280,AM5,DDR5,PCIE4.0X16,MATX,8000
ASUS TUF Gaming B850M-PLUS WIFI7 STCOM,265520,AM5,DDR5,PCIE5.0X16,MATX,8000
MSI MAG B860M 박격포 WIFI,277000,1851,DDR5,PCIE5.0X16,MATX,9200
ASUS ROG STRIX B860-G GAMING WIFI 코잇,279990,1851,DDR5,PCIE5.0X16,MATX,9066
GIGABYTE B550M AORUS ELITE 제이씨현,120920,AM4,DDR4,PCIE4.0X16,MATX,4733
ASRock B760M Pro-A/D4 디앤디컴,142180,1700,DDR4,PCIE4.0X16,MATX,5333
ASUS TUF Gaming B550M-PLUS STCOM,151220,AM4,DDR4,PCIE4.0X16,MATX,4800
GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,348920,1851,DDR5,PCIE5.0X16,ATX,9200
MSI MAG X870E 토마호크 WIFI,472790,AM5,DDR5,PCIE5.0X16,ATX,8400
ASUS PRIME A520M-K 대원씨티에스,64420,AM4,DDR4,PCIE3.0X16,MATX,4600
MSI PRO B760M-P DDR4,129000,1700,DDR4,PCIE4.0X16,MATX,4800
GIGABYTE B850M AORUS ELITE WIFI6E ICE 제이씨현,231860,AM5,DDR5,PCIE5.0X16,MATX,8200
ASUS PRIME A520M-A II 대원씨티에스,81660,AM4,DDR4,PCIE3.0X16,MATX,4866
MSI MAG B850 토마호크 맥스 WIFI,326000,AM5,DDR5,PCIE5.0X16,ATX,8400
ASUS TUF Gaming B650EM-E WIFI 대원씨티에스,179210,AM5,DDR5,PCIE5.0X16,MATX,8000
MSI PRO H610M-E DDR4,86860,1700,DDR4,PCIE4.0X16,MATX,3200
MSI MAG B760M 박격포 II,174360,1700,DDR5,PCIE5.0X16,MATX,7800
ASUS TUF Gaming B850M-PLUS II STCOM,244140,AM5,DDR5,PCIE5.0X16,MATX,8000
MSI PRO B860M-A WIFI,213380,1851,DDR5,PCIE5.0X16,MATX,8600
ASRock B650M Pro X3D 에즈윈,145330,AM5,DDR5,PCIE5.0X16,MATX,8000
MSI MAG Z890 토마호크 WIFI,457400,1851,DDR5,PCIE5.0X16,ATX,9200
GIGABYTE A520M K V2 피씨디렉트,62160,AM4,DDR4,PCIE3.0X16,MATX,5100
GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,260370,1851,DDR5,PCIE5.0X16,MATX,9200
MSI A520M-A PRO,68540,AM4,DDR4,PCIE3.0X16,MATX,4600
GIGABYTE B850M FORCE 제이씨현,161180,AM5,DDR5,PCIE5.0X16,MATX,9600
MSI MAG B650M 박격포 WIFI,217000,AM5,DDR5,PCIE4.0X16,MATX,7600
GIGABYTE H610M K D4 제이씨현,75530,1700,DDR4,PCIE4.0X16,MATX,3200
ASRock B850M Pro-A 에즈윈,165650,AM5,DDR5,PCIE5.0X16,MATX,8000
