name,price,size,wattage
darkFlash 퍼펙트모스트 850W 80PLUS골드 풀모듈러 ATX3.1 블랙,114230,ATX,850
시소닉 CORE V2 GX-850 GOLD 풀모듈러 ATX3.1,175000,ATX,850
잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,85080,ATX,850
MONTECH CENTURY II 850 80PLUS골드 풀모듈러 ATX3.1,108200,ATX,850
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,131780,ATX,850
마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,85900,ATX,700
마이크로닉스 Classic II 풀체인지 600W 80PLUS브론즈 ATX3.1,61700,ATX,600
시소닉 NEW FOCUS V4 GX-850 GOLD 풀모듈러 ATX3.1,197990,ATX,850
SuperFlower SF-1000F14XG LEADEX VII GOLD ATX3.1,215360,ATX,1000
마이크로닉스 Classic II 풀체인지 700W 80PLUS브론즈 ATX3.1,82440,ATX,700
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1,176710,ATX,1050
마이크로닉스 Classic II 750W 80PLUS골드 풀모듈러 ATX3.1,118000,ATX,750
잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,66380,ATX,700
마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,63900,ATX,600
마이크로닉스 Classic II 풀체인지 500W 80PLUS브론즈 ATX3.1,50690,ATX,500
SuperFlower SF-850F14XG LEADEX VII GOLD ATX3.1,186510,ATX,850
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 블랙 ATX3.1,277940,ATX,1200
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1 화이트,146650,ATX,850
시소닉 NEW FOCUS V4 GX-1000 GOLD 풀모듈러 ATX3.1,245000,ATX,1000
마이크로닉스 Classic II 풀체인지 650W 80PLUS스탠다드 ATX3.1,62500,ATX,650
SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,180570,ATX,1000
쿨러마스터 MWE GOLD 850 V3 ATX3.1 블랙,93460,ATX,850
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1 화이트,179000,ATX,1050
잘만 EcoMax 500W,33040,ATX,500
맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1,62000,ATX,750
엔티스 EG 1000W 80PLUS골드 풀모듈러 ATX3.1,98090,ATX,1000
엔티스 ES 800W 80PLUS스탠다드 ATX3.1,63470,ATX,800
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 화이트 ATX3.1,287300,ATX,1200
마이크로닉스 Classic II 풀체인지 500W 80PLUS실버 ATX3.1,54420,ATX,500
맥스엘리트 STARS CYGNUS 850W 80PLUS골드 풀모듈러 ATX3.1,115000,ATX,850
맥스엘리트 STARS CYGNUS 1000W 80PLUS골드 풀모듈러 ATX3.1,159000,ATX,1000
ASUS TUF Gaming 850W GOLD EVO 풀모듈러 ATX3.1,134500,ATX,850
