name,price,memory_type,memory_clock,created_at
삼성전자 노트북 DDR3-1600,3240,DDR3,1600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR2-800 중고,3900,DDR2,800,2026-04-15 11:20:26.806531
삼성전자 DDR2-800 중고,5490,DDR2,800,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR2-667 중고,6190,DDR2,667,2026-04-15 11:20:26.806531
삼성전자 DDR3-1333U 중고,6990,DDR3,1333,2026-04-15 11:20:26.806531
삼성전자 DDR3-1600,10290,DDR3,1600,2026-04-15 11:20:26.806531
타무즈 노트북 DDR3-1333 CL9,10610,DDR3,1333,2026-04-15 11:20:26.806531
SK하이닉스 노트북 DDR3-1600 1.35V 중고,11000,DDR3,1600,2026-04-15 11:20:26.806531
PATRIOT DDR3-1600 CL11 SIGNATURE,11000,DDR3,1600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR3-1600 1.35V,15590,DDR3,1600,2026-04-15 11:20:26.806531
삼성전자 DDR3-1066 중고,16300,DDR3,1066,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR3-1066 중고,21290,DDR3,1066,2026-04-15 11:20:26.806531
삼성전자 DDR3-1600 중고,24920,DDR3,1600,2026-04-15 11:20:26.806531
마이크론 Crucial DDR3-1600 중고,26000,DDR3,1600,2026-04-15 11:20:26.806531
실리콘파워 DDR3-1600 중고,26000,DDR3,1600,2026-04-15 11:20:26.806531
V-Color 컬러풀 DDR3-1600,28000,DDR3,1600,2026-04-15 11:20:26.806531
삼성전자 DDR3-1600 병행수입,29130,DDR3,1600,2026-04-15 11:20:26.806531
삼성전자 DDR3-1333 중고,29270,DDR3,1333,2026-04-15 11:20:26.806531
아이티젠 DDR3-1333,29650,DDR3,1333,2026-04-15 11:20:26.806531
아이티젠 DDR3-1600,30150,DDR3,1600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR3-1600 중고,31800,DDR3,1600,2026-04-15 11:20:26.806531
아이티젠 노트북 DDR3-1600 1.5V,31890,DDR3,1600,2026-04-15 11:20:26.806531
SK하이닉스 DDR3-1600 중고,32000,DDR3,1600,2026-04-15 11:20:26.806531
SK하이닉스 노트북 DDR4-2666 중고,32000,DDR4,2666,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR3-1600 1.35V 중고,32990,DDR3,1600,2026-04-15 11:20:26.806531
Ramaxel DDR4-3200 중고,34000,DDR4,3200,2026-04-15 11:20:26.806531
SK하이닉스 노트북 DDR3-1600 중고,34000,DDR3,1600,2026-04-15 11:20:26.806531
아이티젠 노트북 DDR3-1600 1.35V,34770,DDR3,1600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR3-1600 병행수입,35230,DDR3,1600,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-2666 CL18 T1 GAMING,36000,DDR4,2666,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR3-1333 중고,42890,DDR3,1333,2026-04-15 11:20:26.806531
