name,price
화웨이 eKitStor Xtreme 201 M.2 NVMe,299000
Western Digital WD BLACK SN850X M.2 NVMe,531490
Seagate 파이어쿠다 X1070 M.2 NVMe,464070
키오시아 EXCERIA PLUS G4 M.2 NVMe,350880
삼성전자 990 PRO M.2 NVMe,1070000
ESSENCORE KLEVV CRAS C910G M.2 NVMe,499450
삼성전자 870 EVO,2371970
SK하이닉스 Platinum P41 M.2 NVMe,589000
SK하이닉스 Gold P31 M.2 NVMe,750000
삼성전자 9100 PRO M.2 NVMe,2462990
삼성전자 990 EVO Plus M.2 NVMe,991340
삼성전자 980 M.2 NVMe,437990
SK하이닉스 Platinum P51 M.2 NVMe,785300
ADATA LEGEND 900 M.2 NVMe 파인인포,629000
삼성전자 PM9A1 M.2 NVMe 벌크,590800
마이크론 Crucial P310 M.2 NVMe 대원씨티에스,350840
SK하이닉스 PC801 M.2 NVMe 벌크,338240
키오시아 EXCERIA PRO G2 M.2 NVMe,1370000
삼성전자 990 PRO M.2 NVMe 해외구매,689090
타무즈 M740 M.2 NVMe,252870
에이서 프레데터 GM7000 M.2 NVMe 해외구매,589500
파이슨 ESO256GHLCJ-EL1 M.2 NVMe 벌크,61690
삼성전자 PM9C1 M.2 NVMe 벌크,306000
Western Digital WD Blue SN5100 M.2 NVMe,1082990
PATRIOT P300 M.2 NVMe,506000
키오시아 EXCERIA G3 M.2 NVMe,560620
ESSENCORE KLEVV CRAS C910 M.2 NVMe,845210
ESSENCORE KLEVV CRAS C715 M.2 NVMe,266260
Apacer AS2280P4X M.2 NVMe,242000
키오시아 EXCERIA BASIC M.2 NVMe,527600
