name,price,socket_type,memory_type,cooler,bench_score
AMD 라이젠7-5세대 7800X3D,428430,AM5,DDR5,True,34287
AMD 라이젠7-6세대 9800X3D,628540,AM5,DDR5,True,39978
인텔 코어 울트라5 시리즈2 245K,339970,1851,DDR5,True,43235
인텔 코어 울트라7 시리즈2 265K,468890,1851,DDR5,True,58703
인텔 코어 울트라7 시리즈2 270K Plus,515030,1851,DDR5,True,66993
AMD 라이젠5-5세대 7500F,203590,AM5,DDR5,True,26591
AMD 라이젠5-4세대 5600,173030,AM4,DDR4,True,21529
AMD 라이젠5-4세대 5500GT,194500,AM4,DDR4,True,19014
인텔 코어i5-14세대 14400F,243870,1700,DDR5,True,25591
인텔 코어i5-14세대 14600K,374890,1700,DDR5,True,38460
AMD 라이젠5-4세대 5600G,208100,AM4,DDR4,True,19671
AMD 라이젠9-6세대 9950X3D,965140,AM5,DDR5,True,70216
인텔 코어 울트라5 시리즈2 225,264730,1851,DDR5,True,30398
인텔 코어 울트라9 시리즈2 285K,905790,1851,DDR5,True,67339
AMD 라이젠5-5세대 7500X3D,349890,AM5,DDR5,True,25181
AMD 라이젠7-6세대 9700X,391780,AM5,DDR5,True,37084
AMD 라이젠5-6세대 9600X,299000,AM5,DDR5,True,30064
AMD 라이젠7-6세대 9850X3D,771850,AM5,DDR5,True,41546
인텔 코어i5-13세대 13600K,339040,1700,DDR5,True,37549
인텔 코어 울트라5 시리즈2 250K Plus,359800,1851,DDR5,True,52057
AMD 라이젠7-4세대 5700X3D,438890,AM4,DDR4,True,26308
AMD 라이젠7-4세대 5700X,3920000,AM4,DDR4,True,26597
AMD 라이젠5-6세대 9500F,278500,AM5,DDR5,True,27713
인텔 코어 울트라5 시리즈2 250KF Plus,325440,1851,DDR5,True,53977
AMD 라이젠5-5세대 8600G,276530,AM5,DDR5,True,25200
인텔 코어i5-12세대 12400F,217680,1700,DDR5,True,19596
인텔 코어i3-14세대 14100F,147870,1700,DDR5,True,15398
인텔 코어i7-14세대 14700KF,495100,1700,DDR5,True,52151
AMD 라이젠5-4세대 5600X,950000,AM4,DDR4,True,21842
AMD 라이젠7-4세대 5800X3D,750000,AM4,DDR4,True,28302
