name,price,recommended_power,pcie_type,gpu_length,bench_score
GIGABYTE 지포스 RTX 5060 Ti GAMING OC D7 8GB 제이씨현,684140,650,PCIE5.0X16,281,22340
갤럭시 GALAX 지포스 RTX 5060 Ti BLACK OC D7 8GB,632490,600,PCIE5.0X16,235,22340
이엠텍 지포스 RTX 5060 MIRACLE WHITE D7 8GB,574250,550,PCIE5.0X16,250,22340
MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1088980,650,PCIE5.0X16,338,683
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,598050,550,PCIE5.0X16,197,22340
XFX 라데온 RX 9070 XT SWIFT D6 16GB,1088300,800,PCIE5.0X16,325,26900
MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,2357640,850,PCIE5.0X16,357,35700
SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,700530,450,PCIE5.0X16,240,20122
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE MAX OC D7 8GB 피씨디렉트,587740,650,PCIE5.0X16,208,22340
MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,6299000,1000,PCIE5.0X16,359,38982
MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 16GB,848990,600,PCIE5.0X16,227,22673
MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,1709000,750,PCIE5.0X16,338,32435
GIGABYTE 지포스 RTX 5070 Ti WINDFORCE OC SFF D7 16GB 피씨디렉트,1508770,750,PCIE5.0X16,304,32435
ASRock 라데온 RX 9060 CHALLENGER D6 8GB 대원씨티에스,467530,500,PCIE5.0X16,249,19798
GIGABYTE AORUS 지포스 RTX 5080 MASTER ICE D7 16GB 피씨디렉트,2398770,850,PCIE5.0X16,360,35700
이엠텍 지포스 RTX 5080 MIRACLE WHITE D7 16GB,2199000,850,PCIE5.0X16,348,35700
PowerColor 라데온 RX 9070 XT Reaper D6 16GB 대원씨티에스,1069890,750,PCIE5.0X16,289,26900
ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,1188140,750,PCIE5.0X16,312,26900
