name,price,bench_score
ADATA LEGEND 900 M.2 NVMe 파인인포,183990,39843.0
키오시아 EXCERIA PLUS G4 M.2 NVMe,350880,60559.0
ESSENCORE KLEVV CRAS C910G M.2 NVMe,275920,31854.0
Western Digital WD BLACK SN850X M.2 NVMe,531490,29349.0
삼성전자 990 PRO M.2 NVMe,1070000,48276.0
삼성전자 870 EVO,2371970,4722.0
SK하이닉스 Platinum P41 M.2 NVMe,588890,41570.0
SK하이닉스 Gold P31 M.2 NVMe,750000,4679.0
삼성전자 9100 PRO M.2 NVMe,2462990,81015.0
삼성전자 990 EVO Plus M.2 NVMe,991340,39281.0
삼성전자 980 M.2 NVMe,437990,20886.0
SK하이닉스 Platinum P51 M.2 NVMe,785300,15268.0
삼성전자 PM9A1 M.2 NVMe 벌크,590800,15041.0
마이크론 Crucial P310 M.2 NVMe 대원씨티에스,350950,14690.0
SK하이닉스 PC801 M.2 NVMe 벌크,338240,21289.0
화웨이 eKitStor Xtreme 201 M.2 NVMe,505000,3694.0
키오시아 EXCERIA PRO G2 M.2 NVMe,1370000,15423.0
삼성전자 990 PRO M.2 NVMe 해외구매,689090,48276.0
타무즈 M740 M.2 NVMe,252870,32676.0
에이서 프레데터 GM7000 M.2 NVMe 해외구매,589500,9852.0
Seagate 파이어쿠다 X1070 M.2 NVMe,464070,
파이슨 ESO256GHLCJ-EL1 M.2 NVMe 벌크,61690,21265.0
삼성전자 PM9C1 M.2 NVMe 벌크,306000,10983.0
Western Digital WD Blue SN5100 M.2 NVMe,1082990,3829.0
PATRIOT P300 M.2 NVMe,506330,19791.0
키오시아 EXCERIA G3 M.2 NVMe,560620,59045.0
ESSENCORE KLEVV CRAS C910 M.2 NVMe,845210,30071.0
ESSENCORE KLEVV CRAS C715 M.2 NVMe,266260,16962.0
Apacer AS2280P4X M.2 NVMe,242000,16653.0
키오시아 EXCERIA BASIC M.2 NVMe,513010,
