name,price,socket_type,cooler_length,created_at
AMD Wraith Stealth,940,AMD4,,2026-05-21 09:29:27.587474
인텔 인텔 115X 정품 중고,1890,115X,,2026-05-21 09:29:27.587474
EVERCOOL COOLMARKER CM-1200 SCREW,3950,"115X,2000",50.0,2026-05-21 09:29:27.587474
EVERCOOL COOLMARKER CM-1700/1200 PLUS,4280,"115X,2000",45.0,2026-05-21 09:29:27.587474
조이쿨 MCJ-1700/1200 알루미늄,4450,"115X,2200",45.0,2026-05-21 09:29:27.587474
PNC PARTNER EVEREST BK1700/1200,4560,"115X,1800",52.0,2026-05-21 09:29:27.587474
인텔 인텔 115X 정품,4710,115X,,2026-05-21 09:29:27.587474
인텔 소켓1156 정품,4860,115X,,2026-05-21 09:29:27.587474
COOLERTEC BETA-3020 BLUE,5150,"115X,1800",57.0,2026-05-21 09:29:27.587474
EVERCOOL COOLMARKER CM-1700 SCREW,5240,2600,60.0,2026-05-21 09:29:27.587474
PNC PARTNER EVEREST BK1700/1200 RGB,5300,"115X,1800",52.0,2026-05-21 09:29:27.587474
조이쿨 RGB-AM4,5400,"AMD4,2200",45.0,2026-05-21 09:29:27.587474
EVERCOOL COOLMARKER CM-1200/115X RGB,5420,"115X,2200",49.0,2026-05-21 09:29:27.587474
COOLERTEC GAMMA-100-BLUE,5650,"AM2,2400",,2026-05-21 09:29:27.587474
EVERCOOL COOLMARKER CM-1200AL PWM,5780,"115X,2400",48.0,2026-05-21 09:29:27.587474
투민시스템 THERMANOVA NOVA1 RGB,5790,"115X,1851,AMD4,1300",70.0,2026-05-21 09:29:27.587474
EVERCOOL COOLMARKER CM-1700 RGB,5900,2200,49.0,2026-05-21 09:29:27.587474
라이트컴 COMS NB780,6120,"115X,2200",71.0,2026-05-21 09:29:27.587474
COOLERTEC ICECAP AM2 SILENT WHITE,6280,AM2,,2026-05-21 09:29:27.587474
조이쿨 MRM-90 SLIM,6430,"115X,2400",48.0,2026-05-21 09:29:27.587474
조이쿨 MRM-90 SLIM V2,6430,"115X,2400",48.0,2026-05-21 09:29:27.587474
SRHX NB779,6450,"115X,AMD4,AM2,2000",65.0,2026-05-21 09:29:27.587474
조이쿨 JHF-1700-80 PWM,6560,2600,60.0,2026-05-21 09:29:27.587474
조이쿨 JHC-1700-90,6560,2200,60.0,2026-05-21 09:29:27.587474
조이쿨 JH80-2600 SLIM,6670,"115X,2600",50.0,2026-05-21 09:29:27.587474
EVERCOOL COOLMARKER CM-1700(CU) PWM,7110,2600,48.0,2026-05-21 09:29:27.587474
야인컴퓨터 YAIN YC-700 LED,7150,115X,,2026-05-21 09:29:27.587474
라이트컴 COMS BT738 CPU 쿨러,7160,"115X,AM2,1300",65.0,2026-05-21 09:29:27.587474
