name,price,socket_type,memory_type,pcie_type,size,memory_clock,created_at
GIGABYTE A520M K V2 제이씨현,53200,AM4,DDR4,PCIE3.0X16,MATX,5100.0,2026-04-20 15:30:38.871935
GIGABYTE A520M K V2 피씨디렉트,59730,AM4,DDR4,PCIE3.0X16,MATX,5100.0,2026-04-20 15:30:38.871935
ASRock A520M-HVS 대원씨티에스,61890,AM4,DDR4,PCIE3.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
BIOSTAR A520MSP 제이씨현,62480,AM4,DDR4,PCIE3.0X16,MATX,4266.0,2026-04-20 15:30:38.871935
ASUS PRIME A520M-K 대원씨티에스,64920,AM4,DDR4,PCIE3.0X16,MATX,4600.0,2026-04-20 15:30:38.871935
ASRock A520M-HDV 에즈윈,66970,AM4,DDR4,PCIE3.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
ASRock A520M-HDV 에즈윈 (벌크),67710,AM4,DDR4,PCIE3.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
COLORFUL BATTLE-AX A520M-K M.2 V14 도우정보,68000,AM4,DDR4,PCIE3.0X16,MATX,3600.0,2026-04-20 15:30:38.871935
MSI A520M-A PRO,68420,AM4,DDR4,PCIE3.0X16,MATX,4600.0,2026-04-20 15:30:38.871935
ASUS PRIME A520M-K STCOM,68890,AM4,DDR4,PCIE3.0X16,MATX,4600.0,2026-04-20 15:30:38.871935
ASRock A520M-HDV 디앤디컴,73780,AM4,DDR4,PCIE3.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
GIGABYTE H610M K V2 제이씨현,74500,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
COLORFUL H610M-D V20A 도우정보,74990,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
GIGABYTE H610M K D4 제이씨현,75360,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
GIGABYTE H610M K D4 피씨디렉트,76500,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
BIOSTAR H610MS 제이씨현,76800,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
타무즈 H610M-ID4,77290,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
