name,price,socket_type,memory_type,created_at,bench_score
인텔 펜티엄 G2020 (아이비브릿지),1000,1155,DDR3,2026-05-21 09:09:51.582418,1701.0
인텔 코어2듀오 E7500 (울프데일),1330,775,,2026-05-21 09:09:51.582418,1161.0
인텔 셀러론 G1830 (하스웰),1400,1150,DDR3,2026-05-21 09:09:51.582418,1560.0
인텔 셀러론 G1820 (하스웰),1500,1150,DDR3,2026-05-21 09:09:51.582418,1665.0
인텔 펜티엄 G640 (샌디브릿지),1800,1155,DDR3,2026-05-21 09:09:51.582418,1359.0
인텔 펜티엄 G860 (샌디브릿지),1800,1155,DDR3,2026-05-21 09:09:51.582418,1491.0
인텔 셀러론 G550 (샌디브릿지),1800,1155,DDR3,2026-05-21 09:09:51.582418,1275.0
인텔 펜티엄 G620 (샌디브릿지),1800,1155,DDR3,2026-05-21 09:09:51.582418,1244.0
인텔 펜티엄 E6300 (울프데일),1860,775,,2026-05-21 09:09:51.582418,1032.0
인텔 펜티엄 G3220 (하스웰),1890,1150,DDR3,2026-05-21 09:09:51.582418,1891.0
인텔 펜티엄 G3250 (하스웰 리프레시),1890,1150,DDR3,2026-05-21 09:09:51.582418,2017.0
인텔 펜티엄 E5300 (울프데일),1900,775,,2026-05-21 09:09:51.582418,945.0
인텔 펜티엄 E6500 (울프데일),1900,775,,2026-05-21 09:09:51.582418,1139.0
인텔 셀러론 G1840 (하스웰 리프레시),1950,1150,DDR3,2026-05-21 09:09:51.582418,1778.0
인텔 펜티엄 G3240 (하스웰 리프레시),2000,1150,DDR3,2026-05-21 09:09:51.582418,1928.0
인텔 펜티엄 G850 (샌디브릿지),2090,1155,DDR3,2026-05-21 09:09:51.582418,1497.0
인텔 펜티엄 G840 (샌디브릿지),2100,1155,DDR3,2026-05-21 09:09:51.582418,1321.0
인텔 펜티엄 E2180 (콘로),2110,775,,2026-05-21 09:09:51.582418,693.0
인텔 코어i3-2세대 2120 (샌디브릿지),2230,1155,DDR3,2026-05-21 09:09:51.582418,1979.0
인텔 펜티엄 G3440 (하스웰 리프레시),2790,1150,DDR3,2026-05-21 09:09:51.582418,2202.0
인텔 코어2듀오 E8400 (울프데일),2990,775,,2026-05-21 09:09:51.582418,1220.0
인텔 펜티엄 G4500 (스카이레이크),2990,1151,,2026-05-21 09:09:51.582418,2811.0
인텔 펜티엄 G3420 (하스웰),3000,1150,DDR3,2026-05-21 09:09:51.582418,2031.0
인텔 코어i3-1세대 530 (클락데일),3200,1156,DDR3,2026-05-21 09:09:51.582418,1519.0
인텔 셀러론 G1850 (하스웰 리프레시),3270,1150,DDR3,2026-05-21 09:09:51.582418,1915.0
인텔 코어i5-1세대 760 (린필드),3270,1156,DDR3,2026-05-21 09:09:51.582418,2676.0
인텔 코어i3-1세대 540 (클락데일),3270,1156,DDR3,2026-05-21 09:09:51.582418,1560.0
인텔 코어i3-1세대 550 (클락데일),3280,1156,DDR3,2026-05-21 09:09:51.582418,1635.0
인텔 코어i5-1세대 750 (린필드),3330,1156,DDR3,2026-05-21 09:09:51.582418,2550.0
인텔 코어i3-3세대 3240 (아이비브릿지),3390,1155,DDR3,2026-05-21 09:09:51.582418,2356.0
인텔 코어i3-2세대 2100 (샌디브릿지),3600,1155,DDR3,2026-05-21 09:09:51.582418,1863.0
인텔 펜티엄 G3450 (하스웰 리프레시),3720,1150,DDR3,2026-05-21 09:09:51.582418,2191.0
인텔 펜티엄 G2030 (아이비브릿지),3750,1155,DDR3,2026-05-21 09:09:51.582418,1770.0
인텔 코어i3-4세대 4150 (하스웰 리프레시),3770,1150,DDR3,2026-05-21 09:09:51.582418,3399.0
인텔 코어i5-1세대 650 (클락데일),3920,1156,DDR3,2026-05-21 09:09:51.582418,2256.0
인텔 코어2쿼드 Q8300 (요크필드),4000,775,,2026-05-21 09:09:51.582418,1670.0
인텔 펜티엄 G3460 (하스웰 리프레시),4430,1150,DDR3,2026-05-21 09:09:51.582418,2139.0
인텔 코어i3-3세대 3220 (아이비브릿지),4590,1155,DDR3,2026-05-21 09:09:51.582418,2279.0
인텔 펜티엄 G3260 (하스웰 리프레시),4600,1150,DDR3,2026-05-21 09:09:51.582418,2095.0
인텔 펜티엄 G2130 (아이비브릿지),4770,1155,DDR3,2026-05-21 09:09:51.582418,1918.0
인텔 펜티엄 G2120 (아이비브릿지),4900,1155,DDR3,2026-05-21 09:09:51.582418,1879.0
인텔 코어i7-1세대 950 (블룸필드),5000,1366,DDR3,2026-05-21 09:09:51.582418,3262.0
인텔 펜티엄 G4400 (스카이레이크),5060,1151,,2026-05-21 09:09:51.582418,2566.0
