name,price,memory_type,memory_clock,created_at,bench_score
삼성전자 노트북 DDR3-1600,3240,DDR3,1600,2026-05-22 11:57:25.202677,20.0
삼성전자 노트북 DDR2-800 중고,3900,DDR2,800,2026-05-22 11:57:25.202677,13.4
SK하이닉스 노트북 DDR3-1600 1.35V 중고,6900,DDR3,1600,2026-05-22 11:57:25.202677,21.3
삼성전자 DDR2-800 중고,9770,DDR2,800,2026-05-22 11:57:25.202677,13.4
삼성전자 DDR3-1600,9840,DDR3,1600,2026-05-22 11:57:25.202677,20.0
타무즈 노트북 DDR3-1333 CL9,10490,DDR3,1333,2026-05-22 11:57:25.202677,15.0
PATRIOT DDR3-1600 CL11 SIGNATURE,11000,DDR3,1600,2026-05-22 11:57:25.202677,20.0
삼성전자 노트북 DDR3-1600 1.35V,11000,DDR3,1600,2026-05-22 11:57:25.202677,20.0
삼성전자 DDR3-1066 중고,16300,DDR3,1066,2026-05-22 11:57:25.202677,20.0
삼성전자 DDR3-1600 중고,21380,DDR3,1600,2026-05-22 11:57:25.202677,20.0
아이티젠 DDR3-1600,21430,DDR3,1600,2026-05-22 11:57:25.202677,20.0
아이티젠 DDR3-1333,21910,DDR3,1333,2026-05-22 11:57:25.202677,20.0
아이티젠 노트북 DDR3-1600 1.35V,23320,DDR3,1600,2026-05-22 11:57:25.202677,20.0
아이티젠 노트북 DDR3-1600 1.5V,24760,DDR3,1600,2026-05-22 11:57:25.202677,20.0
삼성전자 DDR3-1333 중고,24890,DDR3,1333,2026-05-22 11:57:25.202677,20.0
삼성전자 노트북 DDR3-1600 1.35V 중고,25590,DDR3,1600,2026-05-22 11:57:25.202677,20.0
CYNEX DDR3-1600 멜론,26000,DDR3,1600,2026-05-22 11:57:25.202677,7.4
SK하이닉스 노트북 DDR3-1600 중고,27000,DDR3,1600,2026-05-22 11:57:25.202677,21.3
삼성전자 DDR3-1600 병행수입,27530,DDR3,1600,2026-05-22 11:57:25.202677,20.0
V-Color 컬러풀 DDR3-1600,28000,DDR3,1600,2026-05-22 11:57:25.202677,20.0
HIKSEMI DDR4-3200 CL18 HIKER 중고,28480,DDR4,3200,2026-05-22 11:57:25.202677,19.9
SOUTH BRIDGE 노트북용 DDR3L-1600 1.35V,28900,DDR3,1600,2026-05-22 11:57:25.202677,20.0
SK하이닉스 노트북 DDR4-2666 중고,30360,DDR4,2666,2026-05-22 11:57:25.202677,15.9
삼성전자 노트북 DDR3-1600 중고,31790,DDR3,1600,2026-05-22 11:57:25.202677,20.0
TeamGroup T-Force DDR4-2666 CL18 T1 GAMING,36000,DDR4,2666,2026-05-22 11:57:25.202677,11.4
삼성전자 노트북 DDR3-1333 중고,39890,DDR3,1333,2026-05-22 11:57:25.202677,20.0
타무즈 DDR3-1600 CL11,44200,DDR3,1600,2026-05-22 11:57:25.202677,20.0
타무즈 노트북 DDR3L-1600 CL11 1.35V,46180,DDR3,1600,2026-05-22 11:57:25.202677,20.0
아이티젠 DDR4-2400,48290,DDR4,2400,2026-05-22 11:57:25.202677,17.5
PNY DDR4-2666 CL19,49000,DDR4,2666,2026-05-22 11:57:25.202677,16.6
삼성전자 노트북 DDR3-1066 중고,52110,DDR3,1066,2026-05-22 11:57:25.202677,20.0
삼성전자 DDR3-1600 ECC/REG 중고,55800,DDR3,1600,2026-05-22 11:57:25.202677,20.0
SK하이닉스 노트북 DDR4-3200 중고,59000,DDR4,3200,2026-05-22 11:57:25.202677,21.3
아이티젠 DDR4-2133,59000,DDR4,2133,2026-05-22 11:57:25.202677,14.0
SK하이닉스 노트북 DDR4-2400 중고,59890,DDR4,2400,2026-05-22 11:57:25.202677,14.3
이메이션 노트북 DDR4-3200 CL22,62200,DDR4,3200,2026-05-22 11:57:25.202677,15.3
마이크론 Crucial DDR4-3200 중고,77740,DDR4,3200,2026-05-22 11:57:25.202677,18.9
트랜센드 노트북 DDR3-1600,84330,DDR3,1600,2026-05-22 11:57:25.202677,20.0
PATRIOT DDR4-2666 CL19 SIGNATURE,86680,DDR4,2666,2026-05-22 11:57:25.202677,16.6
