name,price,created_at,bench_score
SilverStone SDP08-E SSD 가이드 STCOM,10120,2026-06-09 00:09:49.019815,30606.0
라이트컴 COMS mSATA to SATA 컨버터 (HB679),10210,2026-06-09 00:09:49.019815,
라이트컴 COMS M.2 to SATA 컨버터 (HB680),10400,2026-06-09 00:09:49.019815,
라이트컴 COMS Type A/C to SATA 컨버터 (FW627),10580,2026-06-09 00:09:49.019815,
라이트컴 COMS KS467 USB 3.0 컨버터,10630,2026-06-09 00:09:49.019815,
라이트컴 COMS M.2 to SATA 케이스형 컨버터 (ITB749),10800,2026-06-09 00:09:49.019815,
라이트컴 COMS Macbook Air SSD to M.2 컨버터 (IB399),10960,2026-06-09 00:09:49.019815,
라이트컴 COMS M.2 SSD to PCIe 변환 어댑터 (ND562),11030,2026-06-09 00:09:49.019815,
라이트컴 COMS USB 3.0 Type C to SATA3 컨버터 (DM445),11140,2026-06-09 00:09:49.019815,1236.0
라이트컴 COMS M.2 to PCIe 컨버터 (KS509),11320,2026-06-09 00:09:49.019815,
라이트컴 COMS Macbook Air SSD to SATA 컨버터 (ITB756),11440,2026-06-09 00:09:49.019815,
라이트컴 COMS M.2 to SATA 컨버터 (KS512),11490,2026-06-09 00:09:49.019815,
라이트컴 COMS M.2 to SATA 컨버터 (KS514),11720,2026-06-09 00:09:49.019815,
라이트컴 COMS M.2 to SATA 케이스형 컨버터 (ITB748),12140,2026-06-09 00:09:49.019815,
라이트컴 COMS mSATA to SATA 케이스형 컨버터 (ITB746),12140,2026-06-09 00:09:49.019815,
라이트컴 COMS mSATA to SATA 케이스형 컨버터 (ITB747),12230,2026-06-09 00:09:49.019815,
라이트컴 COMS Macbook Air SSD to SATA 변환 카드 (ITB171),12240,2026-06-09 00:09:49.019815,
ORICO PHA35 HDD보관함,12250,2026-06-09 00:09:49.019815,18718.0
라이트컴 COMS M.2 SSD to PCIe 변환 어댑터 (ND522),12570,2026-06-09 00:09:49.019815,
