Bench_Name,Score
686 Gen,188
AArch64,833
AArch64 rev 2 (aarch64),2430
AArch64 rev 4 (aarch64),1815
AC8257V-WAB,827
AC8259V-WAB,956
Allwinner A133,680
Allwinner A333,1325
Allwinner A523,1909
Allwinner A527,2187
Allwinner A733,3095
Allwinner H618,660
Allwinner h728,1953
AMD 3015Ce,2113
AMD 3015e,2627
AMD 3020e,2388
AMD 4700S,17649
AMD A10 Micro-6700T APU,1426
AMD A10 PRO-7350B APU,1862
AMD A10 PRO-7800B APU,3309
AMD A10 PRO-7850B APU,3441
AMD A10-4600M APU,1950
AMD A10-4655M APU,1652
AMD A10-4657M APU,1759
AMD A10-5700 APU,2755
AMD A10-5745M APU,1776
AMD A10-5750M APU,2044
AMD A10-5757M APU,1994
AMD A10-5800B APU,2994
AMD A10-5800K APU,2967
AMD A10-6700 APU,3115
AMD A10-6700T APU,2299
AMD A10-6790B APU,1593
AMD A10-6790K APU,3112
AMD A10-6800B APU,3155
AMD A10-6800K APU,3174
AMD A10-7300 APU,1753
AMD A10-7400P,2134
AMD A10-7700K APU,3188
AMD A10-7800 APU,3220
AMD A10-7850K APU,3394
AMD A10-7860K,3202
AMD A10-7870K,3512
AMD A10-7890K,3538
AMD A10-8700P,2238
AMD A10-8750,3205
AMD A10-8850,3467
AMD A10-9600P,2320
AMD A10-9620P,2524
AMD A10-9630P,3052
AMD A10-9700,3563
AMD A10-9700E,3250
AMD A12-9700P,2423
AMD A12-9720P,2635
AMD A12-9730P,3005
AMD A12-9800,3703
AMD A12-9800E,3416
AMD A4 Micro-6400T APU,1082
AMD A4 PRO-3340B,1719
AMD A4 PRO-7300B APU,1452
AMD A4 PRO-7350B,1512
AMD A4-1200 APU,375
AMD A4-1250 APU,421
AMD A4-1350 APU,911
AMD A4-3300 APU,982
AMD A4-3300M APU,726
AMD A4-3305M APU,767
AMD A4-3310MX APU,789
AMD A4-3320M APU,668
AMD A4-3330MX APU,761
AMD A4-3400 APU,1075
AMD A4-3420 APU,1067
AMD A4-4000 APU,1158
AMD A4-4020 APU,1269
AMD A4-4300M APU,967
AMD A4-4355M APU,801
AMD A4-5000 APU,1287
