Bench_Name,Score
256MB DDR Radeon 9800 XT,37
7900 MOD - Radeon HD 6520G,610
7900 MOD - Radeon HD 6550D,892
A2-2Q,3331
A6 Micro-6500T Quad-Core APU with RadeonR4,220
A10-4Q,3047
A10-8Q,6647
A10-12Q,9192
A10-24Q,15062
A10G,13598
A16,5280
A16-1Q,3430
A16-2B,2150
A16-2Q,3926
A16-4Q,3854
A16-8Q,4768
A16-16Q,3872
A40-2Q,1502
A40-4Q,3712
A40-6Q,2489
A40-8Q,7716
A40-12Q,5025
A40-24Q,3317
A40-48Q,10436
ABIT Siluro T400,3
AicUsbDisplay Device,25878
ALL-IN-WONDER 9000,4
ALL-IN-WONDER 9800,23
ALL-IN-WONDER RADEON 8500DV,5
ALL-IN-WONDER X800 GT,84
All-in-Wonder X1800XL,30
All-in-Wonder X1900,127
AMD Ryzen Z1 Extreme,6430
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3
ASUS A7000,9
ASUS AGP-V3800PRO v31.40H,4
ASUS EAH4870x2,496
Asus GTX 650 FML II EC-EGPU,720
ASUS V9520-X V62.11,7
B8DKMDAP,4557
Barco MXRT 1450,205
Barco MXRT 2600,900
Barco MXRT 5400,1161
Barco MXRT 5450,1079
Barco MXRT 5500,2701
Barco MXRT 5600,2465
Barco MXRT 7100,180
Barco MXRT 7400,900
Barco MXRT 7500,3753
Barco MXRT 7600,4943
Barco MXRV-7100,17382
BASICDISPLAY,69
Beijing Fantasy Technology Fantasy II-M,290
CARRIZO 9874,226
Citrix Indirect Display Adapter,1582
CMP 30HX,5642
CMP 40HX,9343
CONNECT 3D RADEON X300,36
Custom GPU 0405,2948
Custom GPU 0932,3248
CXDisplay Device,10499
Dell 8100,2
Dell 8200,4
Diamond X1300-PCIE 256MB,70
DisplayLink USB Device Ryzen 7 5700U,1917
DisplayLink USB Device Ryzen 7 6800H,4444
DisplayLink USB Device Ryzen 7 7735HS,5768
EAH5450,134
EIZO Quadro MED-XN51LP,5012
EIZO Quadro MED-XN71,7244
EIZO Quadro MED-XN72,9036
EIZO Quadro MED-XN92,17035
Embedded Radeon E9173,1851
Eng Sample: 100-000000560-40_Y,5655
Eng Sample: 100-000000561-40_Y,4206
Extreme AX850 PRO,120
FireGL T2-128,30
FireGL V3100,52
FireGL V3200,84
FireGL V3300,70
FireGL V3350,68
FireGL V3400,103
FireGL V3600,179
FireGL V5100,92
FireGL V5200,114
FireGL V5600,341
FireGL V7100,71
FireGL V7200,116
FireGL V7300,128
FireGL V7350,110
FireGL V7600,615
FireGL V7700,660
FireGL V8600,838
FireGL V8650,550
FireGL X1,59
FireMV 2200 PCI,1
FireMV 2200 PCIe,36
FireMV 2250,45
FireMV 2260,117
FireMV 2400 PCIe,11
FireMV 2450,73
FirePro 3D V3700,178
FirePro 3D V3750,341
FirePro 3D V3800,472
FirePro 3D V4800,853
FirePro 3D V5700,546
FirePro 3D V5800,1231
FirePro 3D V7750,545
FirePro 3D V7800,1867
FirePro 3D V8700,1206
FirePro 3D V8750,1271
FirePro 3D V8800,2437
FirePro 3D V9800,2811
FirePro 2260,112
FirePro 2270,142
FirePro 2450,51
FirePro 2460,170
FirePro M2000,427
FirePro M4000,1591
FirePro M4000 Mobility Pro,1624
Firepro M4100,1059
FirePro M4150,1038
FirePro M4170,1182
FirePro M5100,1874
FirePro M5100 FireGL V,1839
FirePro M5950,1314
FirePro M6000,1820
FirePro M6000 Mobility Pro,1739
FirePro M6100,2515
FirePro M6100 FireGL V,2884
FirePro M7740,665
FirePro M40003,1364
FirePro R5000,2646
FirePro RG220,335
FirePro S7000,4708
FirePro S7150,3770
FirePro S9000,5059
FirePro S9050,4901
FirePro S10000,4537
FirePro V3800,320
FirePro V3900,627
FirePro V4900,1003
FirePro V5700,464
FirePro V5800,1184
FirePro V5900,1187
FirePro V7000,3161
FirePro V7800,2028
FirePro V7900,2260
FirePro V8700,1538
FirePro V8800,2280
FirePro V9800,2726
FirePro W600,1694
FirePro W2100,847
FirePro W4100,1491
FirePro W4170M,1056
Firepro W4190M,1177
FirePro W4300,2678
FirePro W5000,2968
FirePro W5100,2971
FirePro W5130M,1454
Firepro W5170M,1804
FirePro W6150M,2358
FirePro W7000,4315
FirePro W7000 Adapter,4382
FirePro W7100,5038
FirePro W7170M,3693
FirePro W8000,4091
FirePro W8100,6812
FirePro W9000,6115
FirePro W9100,7747
FireStream 9170,647
FireStream 9250,1164
FireStream 9270,1341
FireStream 9370,2528
GeCube RADEON 7000,8
GeForce2 Go,4
GeForce2 GTS/GeForce2 Pro,3
GeForce2 Integrated GPU,4
GeForce2 MX,2
GeForce2 MX 100/200,3
GeForce2 MX with DVI-D and TV-out,4
GeForce2 MX with TV Out,2
GeForce2 MX/MX 400,3
GeForce2 Ti,4
GeForce2 Ultra,6
GeForce3,4
GeForce3 Ti 200,4
GeForce3 Ti 500,2
GeForce4 420 Go,3
GeForce4 420 Go 32M,5
GeForce4 440,4
GeForce4 440 Go,3
GeForce4 440 Go 64M,5
GeForce4 448 Go,5
GeForce4 4200 Go,3
GeForce4 MX 420,4
GeForce4 MX 440,4
GeForce4 MX 440 with AGP8X,4
GeForce4 MX 440SE,4
GeForce4 MX 460,4
GeForce4 MX 4000,4
GeForce4 MX Integrated GPU,6
GeForce4 Ti 4200,5
GeForce4 Ti 4400,7
GeForce4 Ti 4600,5
GeForce4 Ti 4800,5
GeForce4 Ti 4800 SE,6
GeForce9400M,105
GeForce 205,126
GeForce 210,143
GeForce 240M GT,319
GeForce 256,5
GeForce 305M,150
GeForce 310,144
GeForce 310M,128
GeForce 315,196
GeForce 315M,120
GeForce 320M,190
GeForce 405,117
GeForce 410M,272
GeForce 505,143
GeForce 510,291
GeForce 605,331
GeForce 610M,291
GeForce 615,505
GeForce 705M,455
GeForce 710A,426
GeForce 710M,440
GeForce 720A,577
GeForce 730A,764
GeForce 770M,3245
GeForce 800A,435
GeForce 800M,477
GeForce 810A,612
GeForce 810M,420
GeForce 820A,556
GeForce 820M,479
GeForce 825M,748
GeForce 830A,1173
GeForce 830M,1001
GeForce 840A,1082
GeForce 840M,1098
GeForce 845M,1499
GeForce 910M,598
GeForce 920A,816
GeForce 920M,715
GeForce 920MX,1057
GeForce 930A,1217
GeForce 930M,1013
GeForce 930MX,1273
GeForce 940A,1113
GeForce 940M,1133
GeForce 940MX,1506
GeForce 945A,1852
GeForce 945M,2137
GeForce 999 GTX,83
GeForce 6100,27
GeForce 6100 nForce 400,25
GeForce 6100 nForce 405,26
GeForce 6100 nForce 420,25
GeForce 6100 nForce 430,23
GeForce 6150,21
GeForce 6150 LE,33
GeForce 6150SE,24
GeForce 6150SE nForce 430,30
GeForce 6200,37
GeForce 6200 A-LE,32
GeForce 6200 LE,32
GeForce 6200 TurboCache,51
GeForce 6200A,3
GeForce 6200SE TurboCache,37
GeForce 6500,38
GeForce 6600,85
GeForce 6600 GT,142
GeForce 6600 LE,51
GeForce 6610 XL,88
GeForce 6700 XL,95
GeForce 6800,112
GeForce 6800 GS,191
GeForce 6800 GS/XT,102
GeForce 6800 GT,142
GeForce 6800 LE,109
GeForce 6800 Ultra,138
GeForce 6800 XE,58
GeForce 6800 XT,120
GeForce 7000M,13
GeForce 7000M / nForce 610M,12
GeForce 7025 / nForce 630a,33
GeForce 7050 / nForce 610i,25
GeForce 7050 / nForce 620i,39
GeForce 7050 / nForce 630i,37
GeForce 7050 PV / nForce 630a,30
GeForce 7100 / nForce 620i,26
GeForce 7100 / nForce 630i,43
GeForce 7100 GS,51
GeForce 7150 / nForce 630i,33
GeForce 7150M / nForce 630M,18
