Bench_Name,Score
A-DATA Technology AD5U48008G-B 8GB,17.8
A-DATA Technology AD5U480016G-B 16GB,17.9
A-DATA Technology AX5U5200C3816G-B 16GB,17.8
A-DATA Technology AX5U6000C4016G-B 16GB,19.0
Corsair CM5S16GM4800A40K2 16GB,13.4
Corsair CM5S16GM4800A40N2 16GB,13.9
Corsair CMH32GX5M2B5200C40 16GB,19.1
Corsair CMH32GX5M2B5600C36 16GB,20.2
Corsair CMH32GX5M2B5600C40 16GB,19.0
Corsair CMH32GX5M2B6000C40 16GB,21.7
Corsair CMH32GX5M2B6200C36 16GB,23.5
Corsair CMK5S16G3B52C40A2 16GB,20.0
Corsair CMK5S32G3B56Z40A2 32GB,21.1
Corsair CMK32GX5M2A4800C40 16GB,16.8
Corsair CMK32GX5M2B5200C40 16GB,17.9
Corsair CMK32GX5M2B5600C36 16GB,18.7
Corsair CMK32GX5M2B6000C36 16GB,20.1
Corsair CMK32GX5M2B6200C36 16GB,22.1
Corsair CMK32GX5M2D6000C36 16GB,20.1
Corsair CMK32GX5M2X5600C32 16GB,20.5
Corsair CMK32GX5M2X6400C38 16GB,20.3
Corsair CMK64GX5M2B5200C40 32GB,18.3
Corsair CMK64GX5M2B5600C40 32GB,20.6
Corsair CMT5S16G3A48C40A2 16GB,17.8
Corsair CMT5S32G3A48C40A2 32GB,19.5
Corsair CMT32GX5M2B5200C38 16GB,17.9
Corsair CMT32GX5M2B5200C40 16GB,17.5
Corsair CMT32GX5M2B5600C36 16GB,19.7
Corsair CMT32GX5M2X5600C36 16GB,17.1
Corsair CMT32GX5M2X6000C36 16GB,22.2
Corsair CMT32GX5M2X6200C36 16GB,20.4
Corsair CMT32GX5M2X6600C32 16GB,24.7
Corsair CMT64GX5M2B5200C40 32GB,18.6
Corsair CMT64GX5M2X5600C40 32GB,19.5
Corsair CMTS16GM4800A40T2 16GB,13.3
Crucial Technology CT8G48C40U5.M4A1 8GB,17.5
Crucial Technology CT16G48C40U5.M8A1 16GB,17.5
Crucial Technology CT32G48C40U5.M16A1 32GB,17.9
G Skill Intl F5-5200U4040A16G 16GB,19.5
G Skill Intl F5-5600J2834F32G 32GB,18.6
G Skill Intl F5-5600J3036D16G 16GB,16.9
G Skill Intl F5-5600J3036D32G 32GB,21.8
G Skill Intl F5-5600J3636C16G 16GB,19.7
G Skill Intl F5-5600J3636D32G 32GB,20.2
G Skill Intl F5-5600J4040C16G 16GB,16.3
G Skill Intl F5-5600U3636C16G 16GB,15.6
G Skill Intl F5-6000J3040F16G 16GB,21.6
G Skill Intl F5-6000J3040G32G 32GB,21.9
G Skill Intl F5-6000J3238G32G 32GB,18.8
G Skill Intl F5-6000J3636F16G 16GB,19.0
G Skill Intl F5-6000J4040F16G 16GB,19.0
G Skill Intl F5-6000U3636E16G 16GB,19.6
G Skill Intl F5-6000U4040E16G 16GB,18.2
G Skill Intl F5-6400J3239G16G 16GB,21.2
G Skill Intl F5-6600J3440G16G 16GB,21.1
G Skill Intl F5-6800J3445G16G 16GB,26.4
G Skill Intl F5-7200J3445G16G 16GB,26.0
GIGA - BYTE Technology Co Ltd ARS32G60D5R 16GB,21.5
GIGA - BYTE Technology Co Ltd GP-ARS32G52D5 16GB,18.4
Golden Empire CL34-38-38 D5-5200 16GB,16.7
Kingston 9905782-018.A00G 32GB,20.7
Kingston 9905783-025.A01G 16GB,17.8
Kingston 9905792-015.A00G 8GB,16.4
Kingston KF548C38-8 8GB,18.7
Kingston KF548C38-16 16GB,17.9
Kingston KF548C38-32 32GB,18.9
Kingston KF552C40-8 8GB,19.2
Kingston KF552C40-16 16GB,18.0
Kingston KF552C40-32 32GB,19.7
Kingston KF556C40-8 8GB,17.2
Kingston KF556C40-16 16GB,17.8
Kingston KF556C40-32 32GB,20.3
Kingston KF560C32-16 16GB,20.3
Kingston KF560C36-16 16GB,18.5
Kingston KF560C40-8 8GB,16.9
Kingston KF560C40-16 16GB,19.0
Kingston KF564C32-16 16GB,21.5
Micron Technology MTC8C1084S1UC48BA1 16GB,17.8
Patriot Memory (PDP Systems) 5600 C40 Series 8GB,14.9
Patriot Memory (PDP Systems) 6000 C36 Series 16GB,19.1
Patriot Memory (PDP Systems) 6200 C40 Series 16GB,20.9
"PNY Technologies, Inc. 16GP1X1660HHH76-13-K 16GB",21.6
Samsung M323R2GA3BB0-CQKOD 16GB,14.6
Samsung M323R2GA3BB0-CQKOL 16GB,18.7
Samsung M323R4GA3BB0-CQKOL 32GB,19.1
Team Group Inc. TEAMGROUP-UD5-4800 16GB,15.0
Team Group Inc. UD5-4800 8GB,18.7
Team Group Inc. UD5-5200 16GB,19.0
Team Group Inc. UD5-5600 16GB,20.5
Team Group Inc. UD5-6000 16GB,21.1
Team Group Inc. UD5-6400 16GB,20.4
V-Color Technology Inc. TL51656840-E6PGAWK 16GB,21.2
A Force Manufacturing Ltd. UD-01G64V2133P 8GB,17.9
A-DATA Technology 11137401 8GB,15.1
A-DATA Technology AD4S320038G22-B 8GB,16.3
A-DATA Technology AD4S320038G22-BHYD 8GB,16.7
A-DATA Technology AD4S3200316G22-B 16GB,7.1
A-DATA Technology AD4S3200316G22-BHYD 16GB,17.5
