Bench_Name,Score
1TB Visiontek PRO2,17054
2-Power 2041A 120GB SSD,2795
2-Power 2041B 128GB SSD,2955
2-Power 2042A 240GB SSD,3286
2-Power 2042B 256GB SSD,3242
2-Power 2043A 480GB SSD,2597
2-Power 2043B 512GB SSD,3603
2-Power 2044B 1TB SSD,3615
2-Power 7013A 512GB SSD,13894
2-Power 7014A 256GB SSD,17805
2-Power 7015A 1TB SSD,17867
4600 SED Micron 1024GB,69535
4600 SED Micron 2048GB,81144
5300M cior n0142BG,35997
221229-01,9487
ABSNE27512KP,34858
Ace Power A1 256GB SSD,2316
Acer FA100 1TB SSD,20417
Acer FA100 2TB SSD,19388
Acer FA100 128GB SSD,5598
Acer FA100 256GB SSD,11343
Acer FA100 512GB SSD,17990
Acer FA200 1TB SSD,39910
Acer FA200 2TB SSD,41549
Acer FA200 4TB SSD,37197
Acer FA200 500GB SSD,27544
Acer N5000 2TB SSD,37587
Acer N7000 1TB SSD,38958
Acer N7000 2TB SSD,46220
Acer N7000 4TB SSD,38413
Acer N7000 500GB SSD,29224
Acer Predator GM7000 2TB SSD,49642
Acer RE100 1TB SSD,3499
Acer RE100 128GB SSD,4033
Acer RE100 256GB SSD,3303
Acer RE100 512GB SSD,3586
Acer SA100 2TB SSD,3591
Acer SA100 120GB SSD,3203
Acer SA100 240GB SSD,3173
Acer SA100 480GB SSD,3176
Acer SA100 960GB SSD,3293
Acer Speedy SSD,2289
Acer SSD MA200 1TB,29440
Acer SSD RE 100 2.5 512GB,3731
ACER SWIFT 980 250GB SSD,10383
ADATA DM900 1TB SSD,4167
ADATA DM900 512GB SSD,3635
ADATA DP900 256GB SSD,3685
ADATA DP900 512GB SSD,3575
ADATA DP910 1TB SSD,3362
ADATA FALCON 1TB SSD,16882
ADATA FALCON 2TB SSD,16730
ADATA FALCON 256GB SSD,10560
ADATA FALCON 512GB SSD,14548
ADATA ICFP301 512GB Memory Card,11164
ADATA IM2P32A4 128GB SSD,4466
ADATA IM2P32A4 256GB SSD,11381
ADATA IM2P32A8 128GB SSD,6896
ADATA IM2P32A8 256GB SSD,10779
ADATA IM2P32A8 512GB SSD,13730
ADATA IM2P33F8 1TB SSD,13227
ADATA IM2P33F8 128GB SSD,7635
ADATA IM2P33F8 256GB SSD,11119
ADATA IM2P33F8 512GB SSD,12967
ADATA IM2P41E8-128GCTB5,11990
